	Peridinin	19'-Butanoyloxyfucoxanthin	Fucoxanthin	Neoxanthin	Prasinoxanthin	19'-keto-hexanoyloxyfucoxanthin	Violaxanthin	19'-hexanoyloxyfucoxanthin	Astaxanthin	Diadinoxanthin	Dinoxanthin	Antheraxanthin	Alloxanthin	Myxoxanthophyll	Diatoxanthin	Zeaxanthin	Lutein	Canthaxanthin	Gyroxanthin diester	Echinenone	"B,e-carotene"	"B,B-carotene"
606.5	0.000404145	0.000637918	0.000278827	0.001223845	0.000107776	0.000734137	0.000236476	-0.000137205	0.000115082	0.000851476	0.000556898	0.001099476	0.00028601	0.000560674	0.000329087	0.000279756	0.000220088	0.000504868	0.000936253	0.000554492	-3.31586E-05	0.000732663
605.6	0.000385234	0.000670249	0.000283131	0.001219252	0.000112382	0.000677599	0.000219805	-0.000126509	9.89746E-05	0.000801632	0.00049907	0.001104816	0.000260816	0.00053416	0.00030014	0.000243732	0.000194301	0.000490827	0.000945172	0.000587895	-2.98096E-05	0.000776528
604.7	0.000411536	0.00068056	0.000281074	0.001224786	0.000144922	0.000762083	0.000246697	-0.000118137	0.00012346	0.000853785	0.0005589	0.001160629	0.000310955	0.000500459	0.000381846	0.00024989	0.000195545	0.00050776	0.000961327	0.000571219	1.78801E-05	0.000748839
603.9	0.000408234	0.000658351	0.000276127	0.001259283	8.60666E-05	0.000685383	0.000227943	-0.00013381	0.00011076	0.000835946	0.000502946	0.001123707	0.000245152	0.000547274	0.000328125	0.000263039	0.00021173	0.000523013	0.000953415	0.000579622	4.20648E-06	0.000823198
603.0	0.00043784	0.000622212	0.000264675	0.001322939	0.000113152	0.000691974	0.000255484	-0.00013845	0.000107694	0.000874754	0.000552641	0.001103782	0.000276062	0.000525147	0.000391929	0.000282718	0.000234995	0.000495255	0.000977536	0.000555029	-6.45439E-05	0.000739476
602.2	0.000423753	0.000671458	0.000280792	0.001280668	0.000108114	0.000651195	0.000243129	-0.00010848	0.000117394	0.000846381	0.00054026	0.001154626	0.000252458	0.000542398	0.000276761	0.000205893	0.000215453	0.000523611	0.000933623	0.000596842	-2.04239E-05	0.000808703
601.3	0.000420067	0.000684999	0.000273736	0.001275592	0.00012797	0.000778782	0.00022844	-0.000138466	0.000144117	0.000887736	0.000630505	0.001152593	0.000265584	0.000568945	0.000382245	0.00026873	0.000221903	0.000549897	0.000927128	0.000561595	8.86961E-06	0.000754561
600.5	0.000430693	0.000672225	0.00021951	0.001258657	8.63761E-05	0.000677084	0.000257292	-0.000104685	0.000144012	0.000809326	0.000489569	0.001039993	0.000237013	0.000554943	0.000285077	0.000228812	0.000213273	0.00050654	0.000901884	0.000555637	-6.09298E-06	0.000768593
599.6	0.000421017	0.000668567	0.000272429	0.001227335	0.000120063	0.000729127	0.00023662	-0.000148552	0.000126474	0.000873133	0.000606108	0.001216453	0.000260156	0.000531355	0.000407439	0.000243908	0.000171382	0.000556643	0.000909103	0.000610743	-2.05444E-05	0.000735834
598.8	0.000440044	0.000688638	0.000295016	0.001232041	0.000132268	0.000661609	0.000250389	-8.4355E-05	0.000158263	0.000847613	0.000496011	0.001141069	0.000275609	0.000557694	0.000347864	0.000270695	0.000201928	0.000550344	0.000916821	0.000616542	2.30807E-08	0.000809579
