A,burntumbe,rawumber,vandyke,burntsien,rawsienna,redochre,redlead,cadmiumre,alizarin,madderlak,lacdye,carminelak,vermilion,realgar,ylakeres,massicot,yellowoch,gamboge,naplesyel,leadtinII,leadtinI,saffron,orpiment,cobaltyel,cadmiumye,chromegre,cobaltgre,cadmiumgr,greenearth,viridian,phthalogre,verdigris,malachite,bluebice,cobaltblu,azurite,egyptian,ultramarin,phtaloblue,smalt,indigo,mayablue,prussianbl,cobaltvio,ivoryblac,vineblack,boneblack,lampblack,gypsum,chalk,leadwhite,zincwhite,titaniumw,lithopone,cardboard,Gumarabic
839.3393613,35.96732204,23.83439217,21.40271837,40.88564971,54.2200129,43.15974028,115.3571297,118.2895889,116.9185866,93.82823184,100.7925825,99.38466338,89.51144873,111.131265,104.688736,70.13821413,74.06658046,102.6742485,84.58851116,116.5853945,121.2267708,102.3737961,102.1437528,100.4687419,115.2507822,59.80224105,57.46722457,83.56581014,25.32619257,78.89961563,24.53415576,21.54878626,21.13079088,27.12017645,102.9936861,20.51483333,28.33090483,37.42152826,40.64614202,96.89168736,41.8941259,89.21157961,21.24556791,26.95151065,17.67619028,20.71529801,18.38784553,20.19831214,95.58036914,94.97479797,126.1679598,132.5245378,123.834411,121.6702994,122.3290631,101.4612057
839.5209127,36.00729396,23.82901048,21.3677714,40.86845507,54.22261948,43.18089713,115.378324,118.3615779,116.955546,93.91649423,100.8657898,99.41199356,89.53763222,111.1873338,104.7661791,70.15688717,74.05548579,102.743697,84.61867891,116.6572922,121.356179,102.3723831,102.1323739,100.5320615,115.3060932,59.79738046,57.53760357,83.74902502,25.34453841,78.96009473,24.53271442,21.53958351,21.11006267,27.11647447,103.0703191,20.53148092,28.32396582,37.43590739,40.68414582,96.89448908,41.93827054,89.16665756,21.26719111,26.95093921,17.64319027,20.70926828,18.38135087,20.17568,95.66537749,94.9786003,126.2250495,132.5873,123.9645375,121.7144869,122.3521238,101.4750772
839.7024494,35.98728557,23.84596936,21.30960103,40.8689327,54.20388498,43.14979909,115.3325849,118.2861173,116.968988,93.88195102,100.7960274,99.36405222,89.50267927,111.1736605,104.6791974,70.16706723,74.00142389,102.678833,84.52775753,116.559209,121.3198121,102.3160398,102.1131379,100.5048434,115.2444723,59.77034968,57.55950989,83.82436417,25.3780956,78.94976303,24.52824359,21.54622575,21.09537653,27.15033187,103.0437362,20.48795183,28.34004932,37.41588848,40.77264377,96.86990331,42.03027779,89.11230499,21.27250596,26.91091889,17.65259987,20.72050721,18.40384568,20.18180917,95.67400649,94.94766656,126.2052459,132.4742939,123.8241908,121.6527069,122.2809493,101.38222
839.8839714,35.9999131,23.75861685,21.30883495,40.84146136,54.23203568,43.09324235,115.3465535,118.3401437,117.045175,93.89384159,100.7822557,99.3185867,89.46763995,111.1599706,104.7281809,70.15762996,73.98829866,102.5516255,84.58781768,116.5726252,121.3193197,102.2583174,102.0673819,100.5754891,115.2247984,59.73892066,57.51462668,83.91711581,25.33793906,78.91366813,24.51914739,21.5272008,21.09917803,27.1442794,103.1545261,20.4765737,28.33260601,37.42655491,40.83626623,96.89787868,42.0735405,89.21961458,21.28318041,26.89487495,17.64667766,20.70436637,18.38304609,20.15583527,95.66332478,94.91460136,126.2209049,132.4406573,123.8224887,121.7489104,122.3226427,101.4191797
840.0654787,36.00632508,23.7806526,21.31560329,40.80778119,54.17221038,43.12968213,115.3053766,118.3718798,117.041294,93.92932908,100.7467394,99.29791295,89.53360185,111.1667452,104.6587049,70.18266216,73.94236354,102.5638101,84.58737091,116.6436975,121.2550456,102.3220522,102.1200861,100.6016997,115.0802238,59.72850037,57.52016871,84.01697128,25.34058966,78.94869827,24.58653119,21.5590444,21.13742905,27.15140044,103.1816422,20.50945992,28.37202916,37.45324132,40.95747327,96.8420551,42.15187041,89.16335273,21.31671912,26.9282713,17.71894618,20.73676871,18.36639514,20.19770702,95.66169099,94.87427095,126.2724819,132.4180273,123.9367938,121.8623813,122.2567816,101.3438055
840.2469713,36.03826035,23.79726543,21.27450166,40.83222279,54.09865418,43.18257257,115.3417344,118.3841111,117.1194383,94.04359931,100.757787,99.30548838,89.53005144,111.1945236,104.6611525,70.17463697,73.95118617,102.5737293,84.60420842,116.64548,121.331385,102.408447,102.1883868,100.598764,115.1575985,59.7702209,57.59590789,84.08393166,25.34990177,78.98070519,24.60548682,21.55440411,21.13994667,27.14131915,103.2162891,20.47908328,28.40198976,37.4775473,41.05114493,96.84150469,42.20043875,89.19571245,21.27586731,26.91359612,17.6681283,20.71938172,18.36282959,20.21549283,95.61455819,94.84630118,126.2970786,132.4715858,123.8315586,121.8998011,122.2923891,101.3694109
840.4284491,36.04433223,23.82334882,21.31299646,40.78230141,54.09569026,43.18455738,115.3489861,118.3100721,116.9921576,94.08462067,100.7548532,99.2628118,89.57783396,111.1980617,104.6144847,70.12763609,73.85399226,102.5677495,84.62283712,116.5397351,121.3400538,102.4223877,102.1911483,100.4721936,115.217817,59.65238006,57.61023669,84.17760596,25.34965778,78.98028877,24.67083443,21.55994654,21.10242005,27.08918057,103.2157207,20.42972539,28.45859132,37.52237066,41.15176833,96.79152746,42.23882302,89.15087502,21.27711612,26.88998872,17.68657776,20.71549681,18.38942253,20.24053298,95.63172543,94.86837172,126.2520359,132.4822932,123.7661414,121.8134617,122.228391,101.2584113
840.6099123,36.03289244,23.81791015,21.32437688,40.81390148,54.08523959,43.21351661,115.2062266,118.3208014,116.9872512,94.04984977,100.7012985,99.21388446,89.49391746,111.2299343,104.5185399,70.08527684,73.80685202,102.5080304,84.58178782,116.4949362,121.2899675,102.4145873,102.2452763,100.4189931,115.1512019,59.61075367,57.63818773,84.13965246,25.32630046,79.02661438,24.69397278,21.60303426,21.12141641,27.10525406,103.1751665,20.45965738,28.45455544,37.50035625,41.2848982,96.75601462,42.28303732,89.16072941,21.25337302,26.86898619,17.64013715,20.71716751,18.37778311,20.25242186,95.67218446,94.83714332,126.2222563,132.4254706,123.8337373,121.7855125,122.158031,101.3228721
840.7913607,36.00380366,23.79345761,21.29059382,40.77728635,54.05987756,43.17736602,115.2466476,118.4023372,117.0253194,94.05015515,100.7716235,99.20550807,89.43638962,111.2964471,104.5401525,70.08001471,73.77593976,102.5287788,84.5998236,116.5779857,121.2501695,102.5287026,102.3008562,100.4253412,115.1967027,59.61164816,57.63037855,84.22654092,25.3013833,79.1312057,24.72066635,21.58594108,21.06516567,27.04580006,103.1597263,20.43564625,28.4764758,37.4734376,41.38222364,96.72452256,42.30156838,89.17723958,21.21399128,26.76446708,17.60733115,20.67687856,18.35374418,20.19281448,95.73687722,94.84657023,126.248033,132.4574278,123.8944709,121.6764817,122.2691185,101.3096312
840.9727944,36.03431842,23.79900042,21.24404547,40.82124111,54.01435957,43.21516989,115.4073619,118.4591894,117.1092025,94.13111117,100.8775736,99.29619734,89.48735677,111.303484,104.7460938,70.17640761,73.81369119,102.615149,84.66178017,116.6847917,121.3141605,102.6155687,102.3800775,100.5090259,115.2963034,59.61559008,57.71397402,84.36638109,25.30272539,79.15825286,24.75781206,21.6307563,21.06058247,27.10343299,103.2597497,20.46925011,28.49453503,37.49744342,41.45813396,96.7899509,42.39220023,89.30458062,21.25310796,26.76995236,17.55595469,20.6427539,18.41893286,20.15847341,95.82217216,94.88297366,126.2641508,132.5295189,124.0629193,121.8187028,122.3837444,101.3744843
841.1542135,35.98646452,23.75327344,21.23244011,40.80792357,53.96015315,43.16868063,115.2991821,118.4417803,117.0776629,94.17114036,100.8413991,99.15974771,89.45757749,111.2382908,104.6826562,70.12820055,73.77631487,102.5639918,84.63118714,116.6301183,121.3233061,102.6056594,102.3401717,100.4694488,115.2254419,59.60410797,57.76637504,84.3533903,25.2333912,79.18624296,24.78041836,21.6258168,21.09312119,27.09899174,103.2288961,20.45946764,28.50405046,37.48951859,41.58611406,96.78412028,42.40211121,89.27769955,21.23331934,26.74602117,17.52174791,20.61663864,18.40145064,20.14216302,95.81309284,94.83143825,126.2514763,132.4738082,124.0529553,121.9080289,122.3602945,101.3484061
841.3356178,35.99337604,23.74174588,21.23725197,40.7690215,53.89079265,43.13716787,115.2868597,118.4092125,116.9903717,94.14017452,100.7745236,99.18409576,89.47227556,111.1757339,104.694166,70.15152234,73.75523332,102.5292878,84.67378753,116.6307065,121.1956418,102.5998434,102.3495318,100.4479936,115.2304612,59.63244516,57.75149204,84.4412487,25.22595772,79.26140081,24.76883861,21.64939381,21.10078966,27.13157087,103.2537453,20.42402609,28.52349417,37.4930841,41.72972923,96.72147989,42.48877577,89.2153828,21.20430818,26.69023494,17.52091606,20.63555895,18.40515668,20.13353908,95.7749292,94.83042553,126.2666144,132.4575997,123.9837546,121.9253986,122.289043,101.4130632
841.5170074,35.9799333,23.72630948,21.21425403,40.74790245,53.87482646,43.13908245,115.3284169,118.449621,116.9201097,94.10025112,100.7937194,99.20493926,89.47881566,111.1286467,104.6624427,70.14257669,73.66745264,102.5336513,84.61248669,116.6014607,121.1553876,102.5791616,102.4402928,100.4788645,115.2392933,59.6278117,57.72137903,84.38106425,25.19923466,79.26453384,24.75656762,21.61012686,21.08977608,27.15652393,103.2316361,20.37205416,28.54597837,37.47286386,41.86462065,96.76023911,42.59226861,89.15773307,21.19769785,26.65941695,17.52998652,20.62627968,18.38328132,20.1236923,95.75435534,94.85738978,126.3467083,132.5176221,123.9288544,121.9540892,122.3427378,101.3857178
841.6983823,36.0082092,23.74969709,21.30183889,40.77830677,53.8375381,43.16944256,115.3379208,118.4810606,116.9171811,94.08504675,100.8075935,99.15087278,89.49024332,111.0970084,104.660858,70.11698566,73.57202191,102.5289094,84.61983502,116.5551868,121.1300203,102.5195965,102.4271201,100.4169501,115.1629915,59.59119539,57.7579516,84.35498322,25.18123713,79.30375063,24.80006022,21.63113227,21.14639951,27.10787896,103.2265913,20.39998326,28.58832624,37.50872246,41.97946242,96.76027465,42.63248063,89.16175642,21.23856863,26.62372226,17.50335745,20.61304754,18.39311589,20.13712845,95.78925377,94.91189976,126.3063725,132.5537106,123.8935001,121.8994212,122.2649102,101.3561342
841.8797424,35.95732089,23.80332251,21.295534,40.83388122,53.79261799,43.17745581,115.2779969,118.3464386,116.8051844,93.92537085,100.7769312,99.15511489,89.41285609,111.0617849,104.5900064,70.06447656,73.52596084,102.4949884,84.55529444,116.4638605,120.9963334,102.4776977,102.3867726,100.272257,115.0096164,59.6169826,57.77533801,84.41957855,25.22029843,79.37680847,24.84358706,21.67427958,21.1753625,27.09316611,103.0712627,20.42240034,28.60991394,37.49636818,42.04780147,96.65490667,42.68097594,88.98801471,21.24652122,26.60679969,17.49554682,20.61113983,18.44390762,20.15570865,95.72836558,94.92038398,126.214045,132.4205327,123.749205,121.8241581,122.2358348,101.2246094
842.0610879,35.95341784,23.76514171,21.3023791,40.80336314,53.81105329,43.14853348,115.2604679,118.3217334,116.7595433,93.82058686,100.8165478,99.13484176,89.33305582,111.0031777,104.6087205,70.03374646,73.45948453,102.4731888,84.53341377,116.4226558,121.0079656,102.368331,102.322202,100.2133897,115.0852241,59.56855391,57.86555316,84.4461381,25.18975291,79.32580561,24.83990004,21.67827809,21.19192355,27.03883507,103.0538403,20.35839,28.63222667,37.473384,42.09420424,96.68692968,42.71888792,88.94746167,21.21773883,26.55430799,17.42529678,20.59609451,18.41843496,20.12432117,95.65589574,94.92100658,126.1521128,132.4364414,123.7126455,121.7744987,122.2186678,101.3120589
842.2424187,35.72469245,23.51763955,21.1348107,40.55932982,53.90317141,43.14095864,115.3470418,118.3467816,116.7244223,93.7370122,100.8440148,99.17715055,89.36818477,111.0404211,104.671145,70.10586887,73.37812169,102.4170204,84.51357504,116.4777503,121.0366806,102.4201952,102.2457354,100.2654707,115.0659473,59.54853628,57.87062763,84.56310186,25.19824197,79.37896753,24.87531709,21.71191168,21.24694835,27.0595384,103.0638515,20.40095175,28.69509719,37.52443631,42.23144688,96.69061169,42.8107606,88.99950435,21.28452639,26.56138401,17.47188477,20.63421268,18.38147351,20.13830952,95.71910481,95.05732335,126.1643421,132.4147077,123.7800509,121.7351166,122.2476826,101.3506545
842.4237348,35.7206244,23.51708429,21.10161214,40.56953654,53.86129667,43.15369079,115.2073486,118.4122699,116.6820796,93.67441178,100.805703,99.25078111,89.30924499,111.0161021,104.6362059,70.07001106,73.32461838,102.3255174,84.52396175,116.451213,121.0061495,102.3960407,102.2139164,100.1763276,114.9064786,59.54918993,57.93239158,84.61884664,25.19290884,79.34477241,24.86819725,21.70776227,21.2644205,27.06110301,103.0405145,20.3958974,28.71387557,37.52345642,42.31147431,96.6886967,42.8847893,89.00733504,21.25371297,26.50718098,17.47175986,20.62485749,18.35085568,20.11449738,95.70131233,94.9763587,126.1701249,132.3493897,123.8222874,121.7247287,122.1724035,101.3310652
842.6050361,35.67723419,23.51308127,21.10216773,40.55517523,53.82036935,43.16162924,115.33464,118.4302249,116.6994496,93.6575019,100.771919,99.31349611,89.3493616,110.9684954,104.6573624,70.09307125,73.36230272,102.3840043,84.55195538,116.5060696,121.0005299,102.4074992,102.2426295,100.199437,114.9098984,59.57829074,57.92473245,84.70918635,25.17636161,79.34495002,24.903527,21.67771682,21.2607297,27.0616673,103.0856314,20.3764863,28.76981566,37.56327288,42.37771197,96.63310438,42.93792569,89.00908992,21.24198003,26.4704742,17.42623059,20.59278258,18.36218988,20.0906118,95.68773168,94.96710418,126.2043331,132.3782,123.7593539,121.7576537,122.1338429,101.317704
842.7863228,35.74351504,23.55938401,21.08518931,40.58687316,53.79052431,43.23780709,115.366519,118.4515449,116.6511963,93.6449989,100.7833398,99.35820226,89.49256387,110.9666413,104.6671598,70.08416605,73.36795354,102.41259,84.56536618,116.4818944,121.0331276,102.3989516,102.2566948,100.2135398,114.8944481,59.58119235,58.03346358,84.74065657,25.22282685,79.35755705,24.93452689,21.7047715,21.30977892,27.09982879,103.1684791,20.39913433,28.82829559,37.61371708,42.50724372,96.66160088,43.01779582,89.0666627,21.26639097,26.50074287,17.46869007,20.64889512,18.36231562,20.1560382,95.71158646,95.00824197,126.3133209,132.4303837,123.7537798,121.8285218,122.1304215,101.3251482
842.9675948,35.6851283,23.50816891,21.12752099,40.53626682,53.67091728,43.174505,115.1414593,118.2562056,116.4599699,93.58255425,100.6323759,99.21283814,89.43109156,110.8924851,104.3994718,69.9707311,73.26489243,102.2879077,84.40646836,116.4019227,120.8891317,102.215257,102.1413121,100.1540133,114.7603184,59.53787127,57.98294167,84.69224193,25.16876171,79.32173111,24.93672764,21.65214747,21.2594358,27.00824791,103.0550573,20.3759601,28.86419207,37.57054999,42.61172773,96.48624466,42.98966201,88.94469314,21.22885722,26.46368644,17.48584944,20.62821891,18.27923133,20.14543274,95.51141955,94.94020081,126.146948,132.2458588,123.5687079,121.5506374,122.0225289,101.3034821
843.1488521,35.7523679,23.60697761,21.1825237,40.5775943,53.67286991,43.21007726,115.1227325,118.1976614,116.4528155,93.56277554,100.6725712,99.19966517,89.45208962,110.9079257,104.3314933,70.01416051,73.26964807,102.2278499,84.36629044,116.3318954,120.8094981,102.1915835,102.1236131,100.1300061,114.7189307,59.55314639,58.0671334,84.77492516,25.22034822,79.31407052,24.98637594,21.73871774,21.26050802,27.08613362,103.1272793,20.37006786,28.92440992,37.60607095,42.67652071,96.46543916,43.05625445,88.93465575,21.24900562,26.48510923,17.5599067,20.70620849,18.3028842,20.18610684,95.48307649,94.95841255,125.9803957,132.2031343,123.5069744,121.453671,122.0146399,101.2896603
843.3300946,35.70644397,23.61870386,21.15005336,40.57251567,53.63519958,43.20910249,115.0890434,118.1558111,116.4756353,93.57738816,100.6966814,99.14780196,89.40422551,110.9147974,104.3375394,69.98665756,73.20468597,102.2115518,84.35737222,116.3096142,120.8476867,102.1646975,102.1281156,100.0908648,114.6384339,59.43911084,58.06573176,84.7979802,25.24125008,79.36574969,25.03050266,21.7254979,21.24443896,27.03163591,103.1148794,20.39638081,28.97858304,37.58558591,42.7171715,96.38777294,43.0913865,88.9565952,21.23494043,26.49130304,17.53873553,20.70106888,18.31341705,20.1831185,95.44043484,94.99738936,125.9537946,132.1559864,123.481159,121.380649,122.0038764,101.333818
843.5113225,35.72890023,23.5818804,21.15167057,40.57767753,53.59570399,43.18688122,114.9967804,118.0785551,116.5033703,93.59054726,100.6797505,99.12649442,89.30819645,110.9155653,104.3683802,69.98354186,73.16918717,102.1624358,84.33857891,116.2983409,120.8133838,102.2117172,102.0249941,100.0413778,114.5984416,59.43849778,58.10706623,84.92962674,25.19152731,79.36684987,25.08223257,21.74225348,21.24442194,26.99618844,103.1453136,20.42819828,28.98859941,37.61009866,42.76151895,96.27028307,43.15538295,88.88816138,21.22257074,26.45990421,17.54726872,20.72247272,18.30965862,20.19701723,95.40652142,94.91955737,125.7952442,132.0104188,123.4542213,121.3244074,121.8442257,101.2716701
843.6925357,35.74724931,23.58266661,21.1101173,40.56270167,53.59574954,43.22327202,114.9943817,118.1131842,116.4464587,93.616555,100.6656468,99.20164272,89.33640502,110.9226548,104.4948566,70.02663518,73.2249709,102.2047236,84.38232715,116.293385,120.847586,102.2439762,102.0915813,100.0568039,114.5249982,59.46559361,58.13618114,85.10035611,25.22615856,79.39739404,25.12178216,21.71397608,21.23625333,27.0474899,103.1261915,20.42767561,29.01720174,37.59931952,42.85213654,96.21008165,43.19829305,88.92421327,21.20731806,26.42361692,17.55583129,20.70463573,18.28000802,20.19598017,95.47997048,94.89135507,125.8245096,131.9955558,123.4498204,121.3697783,121.9204404,101.3343772
843.8737342,35.79409718,23.61387197,21.12921595,40.48644016,53.55340949,43.20575511,114.9759005,118.165544,116.5088993,93.69765652,100.6994096,99.26562676,89.41012644,110.8623726,104.4867783,70.0790424,73.22913549,102.2602199,84.37926357,116.3034513,120.9350986,102.2406877,102.1617425,100.0897705,114.5638772,59.38627962,58.2008186,85.13344113,25.21261957,79.43850163,25.15097156,21.71819549,21.19043639,27.10176587,103.186184,20.39301582,29.05345419,37.61450167,42.96647063,96.25301729,43.27572133,88.9778518,21.1819044,26.36589613,17.58552399,20.68597994,18.25288513,20.20150272,95.53145176,94.85820179,125.8736449,132.0467646,123.5183875,121.3591133,121.9291437,101.3794229
844.0549179,35.74351742,23.62643397,21.14888815,40.53909472,53.50670102,43.20990054,115.0320594,118.2341844,116.5506919,93.75660553,100.6866542,99.30743639,89.42985189,110.8849003,104.5043071,70.09232432,73.21092108,102.3556649,84.37023811,116.359609,120.8794283,102.3012558,102.2197686,100.0897876,114.547432,59.37554975,58.21311279,85.18419669,25.22447377,79.44976688,25.17519655,21.68440614,21.17929035,27.13672144,103.1471134,20.45904597,29.06249848,37.6246631,43.1479687,96.2429571,43.33218969,89.00684535,21.20967311,26.33248224,17.61892867,20.69015321,18.26948516,20.2144288,95.60540514,94.84206506,125.8909311,132.0424775,123.4930259,121.4278536,122.0007717,101.3594681
844.236087,36.01847551,23.8796666,21.406379,40.80960621,53.48293601,43.2453196,115.0731849,118.3777263,116.6254072,93.92489214,100.7047455,99.38970673,89.53204415,110.9314621,104.6087193,70.09750185,73.32129867,102.557113,84.46009159,116.5107932,120.8935018,102.3580496,102.360721,100.1797985,114.6015087,59.38791674,58.33266062,85.30394161,25.24107354,79.5378509,25.23727127,21.70933201,21.17147683,27.18381802,103.2004372,20.46041371,29.06104649,37.61823591,43.22755619,96.33806491,43.46938043,89.03903623,21.15429838,26.29724611,17.60999961,20.68792583,18.32340259,20.2376008,95.71628685,94.8073693,125.995775,132.1658226,123.5311449,121.6114285,122.087258,101.3874963
