A,burntumber,rawumber,vandykebrown,burntsienna,rawsienna,redochre,redlead,cadmiumred,alizarin,madderlake,lacdye,carminelake,vermilion,realgar,yellowlakereseda,massicot,yellowochre,gamboge,naplesyellow,leadtinyellow..I,leadtinyellow..I,saffron,orpiment,cobaltyellow,cadmiumyellow,chromegreen,cobaltgreen,cadmiumgreen,greenearth,viridian,phthalogreen,verdigris,malachite,bluebice,cobaltblue,azurite,egyptianblue,ultramarine,phthaloblue,smalt,indigo,mayablue,prussianblue,cobaltviolet,ivoryblack,vineblack,boneblack,lampblack,gypsum,chalk,leadwhite,zincwhite,titaniumwhite,lithopone,fresco
347.631619983805,107.787782915548,149.914821124354,72.6940861523482,164.906303236794,216.013628620097,145.12046726697,126.867851058646,176.807009004618,158.62740326113,199.367242638104,226.35677780481,123.655390605986,164.808955950349,55.3662691652443,150.523241664632,112.119737162325,232.806035531752,109.637381357992,109.442686785103,191.26308104161,161.280116816738,151.813093210019,160.42832806035,120.97834022876,63.1783889024097,182.647846191282,133.63348746653,157.994645899241,181.357994645893,153.467997079576,91.9931856899488,35.2640545144787,104.015575565827,132.294962277922,180.506205889506,103.042102701386,155.268921878798,107.739109272323,43.6359211486961,136.407885130196,152.518861036745,133.779508396202,108.712582136768,85.3979070333387,95.789729861277,125.164273545869,109.467023606711,118.325626673151,30.8834266244809,77.7074714042354,119.469457288875,140.910197128251,93.3560477001689,113.750304210267,85.8603066439469
347.852049499123,94.5652173913026,128.732567678419,67.6579163248561,141.899097620999,204.963084495483,167.616899097617,124.7744052502,128.732567678422,135.274815422473,170.672682526656,199.815422477434,102.60459392945,151.68170631665,45.0574241181275,142.842493847411,94.7497949138629,205.250205086131,84.659557013945,104.757998359308,196.903199343718,116.981132075468,148.195242001633,110.931091058242,105.947497949134,55.1066447908126,142.986054142736,115.812141099257,137.940935192777,128.568498769478,121.062346185394,63.925348646432,38.5151763740761,75.922887612795,132.813781788348,117.186218211647,70.5701394585734,147.108285479898,60.1312551271496,23.441345365053,97.3543888433097,145.857260049219,98.6054142739951,110.008203445443,79.6964725184562,104.716981132072,127.871205906477,71.4520098441311,87.1821164889215,47.3543888433124,89.2124692370804,95.0779327317455,150.471698113204,57.8753076292044,109.987694831826,51.025430680882
348.072462021234,295.469869363669,306.468605141163,238.790560471973,293.426042983561,330.27812895069,331.900547829745,325.136957437835,246.481247366199,304.15086388537,282.996207332485,336.493889591227,314.412136536026,339.907290349762,215.571007163922,297.682258744198,249.915718499786,397.408343868514,218.731563421825,255.267593763163,355.141171512844,253.308048883264,296.059839865141,317.7623261694,251.833122629576,225.895490939737,285.229667088069,272.650653181618,288.537715971339,315.613147914025,325.705857564257,275.495153813734,197.345132743359,214.138221660341,323.535608933833,290.497260851238,231.921618204802,286.725663716809,149.431099873572,218.836915297087,247.661188369146,333.923303834804,287.568478718917,284.766118836909,236.093552465229,271.660345554145,271.070375052669,235.018963337541,239.675516224182,222.861356932148,229.983143699955,228.887484197215,280.59418457648,218.05731142014,98.7568478718908,231.563421828901
348.292857551066,513.871089332804,495.816057293595,420.316622691269,464.153788164319,550.169619298876,546.701846965667,467.960799095334,410.55408970974,494.119864304533,457.745947983388,524.048247267214,554.127402940041,527.214474180144,372.408594044454,479.607990953608,327.516019600435,647.719562759104,379.042593290594,363.060686015811,569.656992084397,402.676215604951,485.52581982658,527.779871843166,371.617037316222,268.865435356189,440.670938560094,504.900113079499,425.028269883129,461.213720316592,524.349792687491,413.94647568788,247.681869581589,265.473049378047,511.647191858245,517.225782133404,357.557482095723,410.026385224253,161.477572559354,287.59894459101,370.52393516771,513.569543912524,445.344892574423,509.913305691638,370.410855635108,472.747832642263,391.82058047491,416.01960045229,348.398039954743,327.139087825085,367.810026385207,306.558612891051,448.548812664882,309.234828496026,118.356577459474,371.617037316221
348.513236089547,492.619783616669,464.064914992244,382.148377125176,400.965996908792,540.880989180809,508.693972179261,364.180834621308,326.429675425023,452.279752704768,383.84853168468,487.480680061798,571.058732612031,503.786707882508,403.361669242634,474.072642967515,311.128284389476,604.211746522378,349.381761978344,341.035548686226,542.272024729491,440.417310664581,424.884080370915,401.893353941245,357.341576506934,201.275115919622,393.972179289003,462.326120556386,317.658423493031,390.919629057163,489.799072642942,361.553323029352,186.591962905707,245.015455950529,420.5177743431,477.47295208653,268.083462132911,421.831530139084,130.873261205554,297.836166924249,358.230293663039,488.794435857782,433.423493044803,534.775888717125,365.14683153012,411.282843894878,360.471406491479,331.027820710953,323.995363214818,260.510046367838,376.043276661499,238.910355486851,365.880989180816,236.630602782061,139.412673879437,367.387944358556
348.733597637605,257.634228187912,257.326621923926,187.86353467561,260.738255033549,355.089485458604,253.998881431757,215.939597315428,167.17002237136,262.975391498873,218.540268456369,267.365771812071,331.12416107382,319.519015659946,267.925055928401,252.209172259497,161.549217002234,351.845637583882,180.508948545856,229.72595078299,356.096196867998,244.938478747194,288.227069351217,207.606263982095,163.73042505592,131.124161073824,194.239373601782,277.516778523479,133.193512304246,190.576062639812,301.398210290818,153.691275167782,72.1476510067073,107.52237136465,203.271812080531,300.838926174488,105.313199105143,254.390380313192,-11.0738255033581,180.285234899321,180.005592841155,285.766219239366,186.800894854585,328.131991051442,220.63758389261,220.581655480976,192.897091722587,192.309843400437,181.403803131982,172.175615212522,223.070469798653,128.914988814314,194.99440715883,48.0145413870246,43.4563758389256,258.249440715873
348.953942196168,155.751623106373,169.635425337102,96.0379557183271,155.651739637087,202.730148160476,178.258698185446,152.139170967201,96.7038455135667,159.580489428996,119.277509572163,128.000665889792,183.918761444979,204.278341934406,206.675545197264,155.768270351253,98.9845180622596,235.425337106704,95.555185616779,150.391210254699,217.829199267516,138.887964041947,202.313967038448,133.327784251703,93.5741634759415,75.8947894123525,123.206259364072,165.423672382216,83.40269685367,106.742134176789,203.013151323451,72.0159813550856,32.1291826202751,79.8068919593791,123.822207424668,209.605460296317,46.2460462793408,159.880139836854,0.116530714165334,133.727318128846,95.6883635758251,157.133344431494,122.889961711336,191.226901947722,104.944231729645,138.23872149159,106.825370401195,99.5505243882099,121.408356916926,103.79557183286,139.936740469451,69.8185450307965,110.021641418342,46.1128683202934,47.0784085233884,171.699683702341
349.174269766165,111.118752865657,111.141678129295,65.0848234754691,116.116460339293,117.835855112333,133.023842274183,106.694176983033,80.2957359009622,128.656579550663,88.0903255387423,71.2975699220529,130.513525905547,139.465841357174,144.841815680877,117.090784044014,60.2590554791379,153.014672168728,57.8977533241628,107.725813846857,153.862906923427,89.9701971572661,154.50481430536,79.7340669417685,51.3182026593286,41.9761577258142,88.2622650160463,127.762494268681,38.6519944979365,47.5699220541022,157.817514901418,29.321412196241,28.2324621733137,37.5171939477302,88.5373681797333,163.697845025215,27.9688216414494,110.981201283813,0.825309491058263,105.639614855569,73.4869325997232,110.878037597432,74.1861531407613,138.674919761574,58.2530949105899,93.5465382851883,76.2379642365871,64.2251260889481,70.6327372764763,79.9633195781739,107.977991746904,54.0348464007334,80.8230169646946,41.4374140302614,46.2746446584127,136.256304447497
349.394580348524,93.4482439069588,94.6714854971716,55.7501621721798,87.9714576962276,88.7591511444722,114.651098137335,97.7017885274752,73.8300435548134,107.506255212676,90.7330182559529,46.6777870447589,121.89787786118,112.149013066443,130.349365211748,102.131405801128,64.6186637012321,133.944954128438,56.5656565656562,107.209711796866,126.197757390416,82.7356130108412,124.909646927993,88.6757483087744,66.4257251413197,70.0769159484755,81.1138912056332,124.492632749511,40.1630988786946,48.5775183022879,160.837735149659,56.3525159855436,57.0382726346011,56.5934575108882,98.2022055416539,179.686776017049,47.6693540913728,118.515429524602,18.376424798442,110.823834677043,81.0953572421444,104.096005930867,64.9152071170424,140.422574367526,52.5159855435072,89.6024464831791,87.6563803169292,70.3549254007953,87.1003614122862,98.4987489574632,115.605597256973,65.6102307478448,75.7019738671107,59.160411453989,55.8428319896203,160.392920025944
349.614873944174,94.3411188004611,87.982987312571,58.3621683967706,88.0190311418684,90.6934832756633,105.493079584773,101.585928489041,84.0470011534024,114.835640138407,92.0415224913491,59.0830449826984,115.441176470588,124.444925028834,129.325259515569,104.375720876585,74.1637831603229,126.49942329873,59.6525374855824,110.294117647057,130.12543252595,83.6649365628598,115.066320645904,90.5348904267582,70.1340830449818,88.249711649366,81.2788350634367,129.736159169548,63.8552479815451,53.2511534025369,142.920991926181,54.7073241061135,70.328719723182,71.6695501730099,112.471164936562,156.74019607843,62.5720876585929,113.934544405997,38.8480392156855,107.763840830449,105.72376009227,97.3760092272204,58.837946943484,136.036620530563,74.4016724336781,81.5095155709335,86.9305074971159,72.2534602076116,82.0934256055351,93.2093425605531,124.134948096885,76.4345444059973,84.1911764705879,66.5441176470586,61.9016724336788,154.570357554784
