A,burntumber,rawumber,vandykebrown,burntsienna,rawsienna,redochre,redlead,cadmiumred,alizarin,madderlake,lacdye,carminelake,vermilion,realgar,yellowlakeresed,massicot,yellowochre,gamboge,naplesyellow,leadtinyellow..II,leadtinyellow..I,saffron,orpiment,cobaltyellow,cadmiumyellow,chromegreen,cobaltgreen,cadmiumgreen,greenearth,viridian,phthalogreen,verdigris,malachite,bluebice,cobaltblue,azurite,egyptianblue,ultramarine,phthaloblue,smalt,indigo,mayablue,prussianblue,cobaltviolet,ivoryblack,vineblack,boneblack,lampblaxk,gypsum,chalk,leadwhite,zincwhite,titaniumwhite,lithopone,Linseedoil
760.272006,20.27108688,23.32453365,760.272006,19.96140341,44.77402426,38.47484073,105.3176518,96.72855292,102.5479807,105.7344333,84.51864076,81.99818104,69.08107957,84.75023161,76.77713383,67.32481593,58.45778254,85.74753175,74.59243559,94.85690398,100.1695495,89.8176816,82.56878606,93.05364618,95.84348441,45.65376121,36.26912735,29.37123847,23.56103181,30.50933724,18.72865163,20.66222878,16.66796538,24.65067979,86.13191373,17.83054411,27.36258097,30.43591152,19.79879767,62.52490599,30.68550525,53.87394958,16.69074829,54.40631439,15.48577157,16.58073698,15.97733645,17.57264897,76.90902295,88.91019787,105.3574194,111.2188911,113.0730039,98.24389193,102.3216785
760.4599416,20.26618262,23.34277171,760.4599416,19.9691804,44.77984749,38.44331489,105.2220181,96.74963903,102.5338352,105.7320693,84.53222504,82.04728008,69.10197463,84.75430536,76.8398619,67.34438407,58.47830106,85.75780087,74.5249293,94.89290168,100.1264528,89.82953254,82.58648879,93.09771591,95.83956622,45.67448647,36.33649868,29.4876111,23.58188295,30.60811819,18.72357735,20.61354265,16.69720925,24.70467967,86.13827578,17.82582899,27.36441412,30.43790796,19.75926906,62.53433037,30.72060704,54.03265244,16.72604167,54.35211285,15.45619959,16.56703934,15.96694334,17.60336706,76.92775839,88.97091996,105.3762292,111.2034738,113.088987,98.29125496,102.3142118
760.6478621,20.25568373,23.37299031,760.6478621,19.96895178,44.82199705,38.49012968,105.2096251,96.83741771,102.4701436,105.8107362,84.59332286,82.08616838,69.16402913,84.87567604,76.88620777,67.39388374,58.51806033,85.80923412,74.54767163,94.88754408,100.1593931,89.91712208,82.67414318,93.217317,95.91205035,45.79084042,36.40189237,29.6506402,23.60923171,30.68291207,18.73996087,20.63454005,16.70732978,24.69077545,86.20102837,17.83929322,27.38294388,30.5336227,19.81964824,62.58146615,30.85814817,54.23735947,16.73494866,54.32646546,15.46968051,16.56502661,16.00166649,17.61992925,76.92809666,89.07724715,105.3727168,111.3043016,113.1244132,98.49823538,102.4605042
760.8357675,20.25681218,23.37008381,760.8357675,19.95849028,44.82476051,38.48402087,105.2686626,96.77624455,102.5001011,105.8113469,84.58604064,82.11696746,69.17783431,84.81145767,76.87344254,67.42657297,58.51346055,85.81072905,74.52287342,94.86405403,100.2177794,89.83973966,82.58720031,93.21160039,95.94450558,45.77623633,36.47418459,29.79145099,23.61368101,30.76398349,18.71574924,20.63841141,16.73406883,24.68724591,86.22423922,17.8256297,27.39345474,30.54728104,19.80974735,62.64370194,30.93349971,54.45717261,16.70513361,54.25872117,15.45024884,16.57427327,16.01868008,17.59135639,76.93356602,89.09146224,105.3442456,111.3385135,113.0876069,98.53073666,102.4670043
761.0236578,20.24219485,23.35997582,761.0236578,19.91172438,44.8269712,38.45790645,105.2700181,96.79478489,102.4278499,105.8213972,84.62827809,82.05157736,69.14610186,84.79267752,76.8177399,67.32514269,58.5462699,85.7819215,74.47755902,94.87942177,100.1598946,89.83121895,82.64894014,93.22298951,95.94429941,45.81115783,36.57015337,29.91038283,23.63997191,30.85263734,18.66600029,20.63584684,16.66532796,24.6753129,86.22386626,17.79195631,27.36772363,30.56987882,19.81642796,62.60708452,30.97809372,54.56086228,16.69975196,54.16301708,15.46196098,16.57960793,15.9827268,17.57929244,76.92204606,89.01076593,105.2323217,111.3817103,113.0524363,98.56243644,102.4523493
761.2115329,20.27728253,23.37533729,761.2115329,19.93380058,44.90843056,38.48297406,105.3507114,96.85556285,102.3274348,105.9020993,84.64979451,82.09706235,69.19646507,84.91318075,76.88239463,67.37984261,58.62995226,85.80549976,74.52241936,94.95463581,100.2686438,89.9562492,82.71674132,93.29246543,96.00441122,45.88559265,36.7157808,30.0647327,23.68048611,30.99552657,18.68966693,20.68359966,16.72513947,24.71932133,86.26381109,17.82729169,27.43164974,30.61631898,19.88931713,62.67726598,31.08989271,54.78131899,16.7087292,54.10017945,15.49021711,16.60862372,16.01466551,17.59520968,76.96112991,89.07637251,105.3398988,111.436909,113.1680932,98.78816256,102.4887633
761.399393,20.32440495,23.3915695,761.399393,19.9399938,44.94852611,38.48942341,105.4248607,96.8637546,102.2780672,105.9607053,84.72432527,82.21495462,69.19100106,85.00666066,76.8583807,67.36672478,58.65948823,85.86924973,74.59772666,94.97355942,100.2853839,89.9640771,82.79627173,93.40686172,96.08843824,45.92678875,36.81174545,30.24673862,23.71421624,31.10303214,18.72686759,20.70753998,16.72492646,24.75621419,86.3571262,17.88373232,27.46711322,30.65596329,19.92608405,62.69192731,31.17699063,54.95155336,16.73523471,54.10008075,15.49852856,16.6595889,16.02585144,17.63898588,77.02748133,89.07191031,105.3500799,111.4741007,113.261738,98.87393382,102.5190976
761.5872379,20.33219565,23.37265181,761.5872379,19.91694046,44.97444115,38.48611238,105.4774279,96.95461096,102.428787,105.9937647,84.76202667,82.25321623,69.18834796,85.01921698,76.93287509,67.41012868,58.65774835,85.9005304,74.65888689,94.95994017,100.3302622,89.98529774,82.74848902,93.38117663,96.17731333,45.98447729,36.88522173,30.37246952,23.7097605,31.17801783,18.74231895,20.70489764,16.75534516,24.74315697,86.38383954,17.91343868,27.44274808,30.66971825,19.90764169,62.73192701,31.23555395,55.14219035,16.73469226,54.01713865,15.46223524,16.63935154,16.03049486,17.64020232,77.01476378,89.09984524,105.4155685,111.4758562,113.3460709,98.98040993,102.5507825
761.7750678,20.3601994,23.40818906,761.7750678,19.93214128,45.00923151,38.4804931,105.505546,96.93451307,102.4195572,106.0559288,84.76361648,82.30756558,69.17869367,85.09534022,76.99615117,67.43544333,58.63071111,85.92702845,74.7100169,95.00707276,100.329423,90.04165542,82.78108534,93.45221627,96.35216088,46.0396813,36.96605644,30.57199869,23.75185695,31.26204712,18.7814688,20.74691454,16.76185539,24.73019841,86.42659528,17.91166153,27.45826646,30.71251651,19.92577864,62.78697931,31.29347687,55.34524435,16.7454091,53.91356464,15.48083396,16.6349292,16.03449745,17.64122083,77.00951556,89.12809078,105.4755081,111.5925495,113.4360966,99.06558634,102.5762026
761.9628825,20.3048136,23.35725885,761.9628825,19.88605565,44.95728504,38.418441,105.369463,96.79004212,102.455535,105.9895485,84.6467986,82.17077987,69.09296421,85.00405122,76.82959605,67.39010687,58.58056902,85.77885691,74.52906386,94.92454079,100.2204355,89.88759506,82.66236899,93.40086966,96.26925249,46.05798824,36.96072617,30.57049286,23.69381596,31.28261668,18.72119639,20.69668157,16.68998927,24.66935387,86.31376484,17.85029836,27.34518345,30.65361508,19.87528265,62.69438182,31.23972312,55.46358498,16.7084026,53.70554435,15.41364361,16.56367582,16.00549253,17.55973913,76.92291009,89.00121792,105.3697039,111.4458617,113.3042897,99.09926358,102.5231506
