A,burntumber,rawumber,vandykebrown,burntsienna,rawsienna,redochre,redlead,cadmiumred,alizarin,madderlake,lacdye,carminelake,vermilion,realgar,yellowlakeresed,massicot,yellowochre,gamboge,naplesyellow,leadtinyellowII,leadtinyellowI,saffron,orpiment,cobaltyellow,cadmiumyellow,chromegreen,cobaltgreen,cadmiumgreen,greenearth,viridian,phthalogreen,verdigris,malachite,bluebice,cobaltblue,azurite,egyptianblue,ultramarine,Phthaloblue,smalt,indigo,mayablue,prussianblue,cobaltviolet,ivoryblack,vineblack,boneblack,lampblack,gypsum,chalk,leadwhite,zincwhite,titaniumwhite,lithopone,cardboard
913.2543674,33.55867324,42.52582429,23.17779806,45.21318886,55.1912449,58.69704515,124.110603,124.7131872,126.0475854,102.1724486,109.7093106,98.22522768,86.12513526,91.45348877,106.8352475,122.9114148,81.68727756,116.190118,90.64001658,119.0259982,108.575126,97.08455464,99.88661742,122.2861361,121.0221835,54.60316245,79.35752261,89.07368044,46.48874292,95.70165789,40.1677835,15.11432893,34.79445968,37.06943697,106.0932673,38.01494964,47.35552766,68.69653983,68.47297401,93.16125413,89.16720911,80.45827853,14.98354428,45.29804639,16.29342408,16.61446543,15.13418285,15.88824281,117.3826982,126.9320413,129.3569994,128.3249846,131.3027725,117.0490389,115.3609597
913.4299052,33.43511276,42.3136462,23.01769599,45.08403259,54.98056051,58.61389992,124.0509454,124.4199458,125.7577527,102.0600124,109.6164743,98.16643879,86.10710803,91.32569607,106.7737473,122.8540061,81.57009583,116.0744631,90.5458042,119.0482683,108.4235289,96.90724869,99.81859278,122.2119789,120.9472634,54.59528413,79.35053754,89.08748957,46.45526215,95.6507312,40.24525559,15.10920018,34.82457012,37.0511853,106.0234944,37.97539817,47.27151955,68.66039434,68.42493432,93.00881031,89.08187408,80.43573767,15.05905119,45.29456826,16.30118463,16.62712304,15.18145076,15.88527833,117.3701689,126.8759551,129.1680943,128.1831621,131.3037807,116.9527011,115.5152553
913.6054288,33.46657691,42.39342568,23.04887468,45.07962458,54.98540942,58.63954512,124.0641745,124.3600131,125.6988601,102.0381729,109.5997283,98.20056559,86.03653204,91.30762226,106.8219889,122.8936526,81.61436999,116.0666448,90.51970104,119.0369017,108.4242177,96.90914173,99.65397342,122.2593306,120.9338571,54.63186967,79.31885595,89.05751783,46.44137172,95.59656077,40.33671025,15.13344894,34.8164833,37.10343232,106.1250672,38.0600092,47.28912784,68.71104045,68.45312833,92.9572741,89.12026783,80.4201365,15.10826479,45.34970804,16.36933545,16.69943411,15.22255514,15.91208388,117.3985196,126.8452798,129.224761,128.1492056,131.2198985,116.9600209,115.5137554
913.780938,33.48121087,42.33981692,23.08499191,45.06026929,54.98183934,58.67898879,124.2310579,124.4137497,125.6789978,101.942754,109.5695395,98.17247959,86.07997926,91.35736268,106.8391704,122.8952167,81.59331567,115.8927059,90.52399167,119.0908515,108.377989,96.84468639,99.58358577,122.3017172,120.9766067,54.70444085,79.20044852,88.98261098,46.46525662,95.6010803,40.39413915,15.17694967,34.86374227,37.0477844,106.0065529,38.03503124,47.32690099,68.58416149,68.40424281,92.97548536,89.14742842,80.40414636,15.05764692,45.42755176,16.38830363,16.67628202,15.22125868,15.91754305,117.4452392,126.8460729,129.3055242,127.9552147,131.2247069,116.9881933,115.4979558
913.9564329,33.50093084,42.40173612,23.12845591,45.12694288,55.08847058,58.71409348,124.2402673,124.4257404,125.7296715,101.9971516,109.5210933,98.15409101,86.04015089,91.38557679,106.8334706,122.9005346,81.53716381,115.9504748,90.63746067,119.1104965,108.400611,96.95203561,99.61207451,122.3103682,120.9421151,54.65567988,79.17879437,89.01590797,46.40087326,95.55864593,40.37573182,15.17924635,34.88942613,37.07186954,105.991062,38.05120012,47.32382775,68.5904528,68.55268747,92.94069272,89.28715368,80.39039685,15.03806443,45.48683138,16.39027479,16.69463315,15.23072805,15.88071473,117.5407881,126.8213011,129.2083118,127.9302725,131.332657,116.9514978,115.3558477
914.1319134,33.48015605,42.42942313,23.16397106,45.1315935,55.16836483,58.87604257,124.1675997,124.5226166,125.7748722,101.9900761,109.6265444,98.23133972,86.06492178,91.29857202,106.7958335,123.037794,81.43473353,116.0194538,90.5754176,119.0966706,108.2561418,96.94417636,99.56641036,122.3970304,120.9376615,54.76068331,79.23048369,89.03414265,46.40930268,95.49544335,40.46122495,15.27705769,34.91688951,37.1444112,106.0395591,38.06637627,47.39605318,68.61782508,68.62800651,92.95166092,89.4149161,80.3798947,15.05430855,45.56424378,16.39713647,16.71618499,15.24084694,15.9613045,117.5687891,126.7976516,129.1787432,128.006424,131.4582932,116.9738116,115.4838334
914.3073797,33.55517143,42.38466586,23.19809584,45.19403112,55.18054281,58.86330634,124.2639151,124.5902167,125.8559303,102.0326636,109.722548,98.30582002,86.07168245,91.22348667,106.8660648,123.0751517,81.42180124,116.0140534,90.64066421,119.047768,108.307582,96.92612418,99.58228779,122.4548719,121.038387,54.73904379,79.32844028,89.01647761,46.43629205,95.56848354,40.53230207,15.28358862,34.95212259,37.15372417,106.0403313,38.05631672,47.45873003,68.59357057,68.61049172,92.93212708,89.45509062,80.39665952,15.0563228,45.59105519,16.41283941,16.72401222,15.24886534,15.96010013,117.5862917,126.8287896,129.3261315,128.0327426,131.4965641,117.0972191,115.6425863
914.4828316,33.60911855,42.36609886,23.1927965,45.19593606,55.23036885,58.95028585,124.2409814,124.5178937,125.7190049,101.9860313,109.7392424,98.3720051,86.05321287,91.11595682,106.9211641,123.0960447,81.51041833,116.0490059,90.62141389,119.0194622,108.3290608,96.99243929,99.62389879,122.3425628,121.0944161,54.70962738,79.39580099,89.08142777,46.3410555,95.47143187,40.5988862,15.28245518,34.98737444,37.13845649,106.0277942,38.17424276,47.48276304,68.53648008,68.7328472,92.99567085,89.37789764,80.30857603,14.98921443,45.71247358,16.40098007,16.70113601,15.25199177,15.86065063,117.5800662,126.8826766,129.3746746,128.0083908,131.5574691,117.0587459,115.5560532
914.6582691,33.60291668,42.29453375,23.18496039,45.14599104,55.22941406,58.92939598,124.1461035,124.3153817,125.5852427,101.9600797,109.7223124,98.41834276,86.10092871,91.05842781,106.8576579,122.9732559,81.46750873,115.9694531,90.59414707,119.0242028,108.2745782,96.83363766,99.48424088,122.2079074,120.9559678,54.64065866,79.32608125,89.07201457,46.35507769,95.43271861,40.62272077,15.22748171,34.96046466,37.10429995,105.8948994,38.14654667,47.42286548,68.55048889,68.58569169,92.85468497,89.28899183,80.26308531,14.92696257,45.63544712,16.43413007,16.72136054,15.20413509,15.80834316,117.4588821,126.7594009,129.3493212,127.9807704,131.5359789,117.0181308,115.6360794
914.8336924,33.60170927,42.2602447,23.17831191,45.14703511,55.21908784,58.96326562,124.1869399,124.208113,125.5863215,101.8833639,109.748123,98.37600637,86.06407427,90.91592237,106.7367112,123.1217076,81.49380978,115.9443393,90.54729047,119.0280516,108.3206229,96.77798954,99.27898318,122.2233203,120.9366885,54.60537447,79.42202998,88.98583698,46.26137556,95.3099791,40.69331436,15.20147624,34.83923298,37.13100476,105.7419742,37.9967145,47.35757202,68.54016812,68.57312102,92.80069369,89.1145583,80.24215028,14.84808162,45.57514745,16.44462979,16.73695293,15.12553464,15.84346117,117.4737578,126.7077604,129.3666036,127.8789805,131.464299,116.9931105,115.5967903
915.0091013,33.55560365,42.17202993,23.03417839,45.06803305,55.11547715,58.97734602,124.1181026,124.202684,125.6310041,101.7646839,109.665494,98.38280486,85.96876586,90.70851615,106.7167615,122.9053288,81.4800622,115.8662135,90.48224004,118.9128937,108.2057203,96.74182022,99.19069733,122.2315588,120.9539771,54.5675217,79.34446453,88.92611277,46.26704198,95.26536936,40.63313165,15.16574166,34.8541238,37.04793828,105.7164991,38.0297148,47.30081203,68.46730048,68.46444942,92.66391452,89.10769161,80.26183159,14.72995858,45.52686987,16.36189953,16.67591473,15.09363741,15.83886787,117.3806785,126.7211516,129.4226388,127.7926292,131.510075,116.8891311,115.6069347
915.1844959,33.66456656,42.23083593,23.14503595,45.15917326,55.23798647,59.0921474,124.2630366,124.3731775,125.7533552,101.9932481,109.8021374,98.45898207,86.07425982,90.81551958,106.8704755,122.9352204,81.63310161,115.9643621,90.57390536,119.0011781,108.3663658,96.94289821,99.21937888,122.349516,121.1527113,54.67737005,79.49751383,88.99776424,46.42834825,95.45956725,40.77764134,15.29902262,34.96603272,37.08324317,105.872497,38.1735085,47.47597941,68.61557727,68.50466683,92.73775175,89.34016137,80.47268226,14.85024012,45.80278012,16.43927923,16.77539666,15.20941387,15.8888827,117.3466024,126.7299397,129.5890157,127.9390882,131.6714416,117.0631235,115.5436645
915.3598761,33.67599578,42.27601363,23.26700462,45.20478798,55.30915952,59.1556401,124.3332502,124.5330058,125.8697987,101.9914004,109.7529063,98.50598805,85.99236066,90.90268608,106.9536499,122.9999969,81.67499238,115.9551796,90.589079,118.8979892,108.4081417,96.95288045,99.23227977,122.3591477,121.2121072,54.61937168,79.41362955,88.8922951,46.38257663,95.43172144,40.74137342,15.33433673,34.91648122,37.11905619,105.7945441,38.15356867,47.44128139,68.58665977,68.45015497,92.74945598,89.40990529,80.38547601,14.79037972,45.79869928,16.46484886,16.74170583,15.19512338,15.87210716,117.2936346,126.7510319,129.5921477,127.8852067,131.459047,117.0005879,115.3570688
915.5352421,33.58724823,42.22081793,23.24240147,45.23326597,55.28487979,59.08653028,124.3400637,124.5055825,125.8385971,102.0585607,109.647129,98.41968015,85.96367358,90.95372979,106.8754693,122.9206606,81.61360892,115.9597294,90.60128814,118.8477372,108.3133423,96.99286438,99.14850022,122.2723607,121.1345774,54.66416118,79.37569243,88.84720291,46.31638086,95.49531936,40.75110132,15.31785382,34.90151493,37.11256049,105.7179497,38.10249192,47.43538544,68.55118404,68.42665115,92.72582164,89.42242624,80.38304364,14.70856309,45.77222898,16.42499812,16.69599305,15.14362515,15.84103402,117.2217368,126.7526104,129.4349784,127.8180584,131.466174,116.9481474,115.3270168
