A,burntumber,rawumber,vanDykeBrown,burntsienna,rawsienna,redochre,redlead,cadmiumred,alizarin,madderlake,lacdye,carminelake,vermilion,realgar,yellowlakeres,massicot,yellowochre,gamboge,naplesyellow,leadTinYellow..II,leadTinYellow..I,saffron,orpiment,cobaltyellow,cadmiumyellow,chromegreen,cobaltgreen,cadmiumgreen,greenearth,viridian,phthalogreen,verdigris,malachite,bluebice,cobaltblue,azurite,egyptianBlue,ultramarine,phthaloblue,smalt,indigo,mayablue,prussianblue,cobaltviolet,ivoryblack,vineblack,boneblack,lampblack,gypsum,chalk,leadwhite,zincwhite,titaniumwhite,lithopone,eggtempera
846.5899485,27.18492532,30.51837949,20.43003851,44.35153978,62.16362011,41.28885558,124.9824528,124.2378156,119.2197554,90.85541165,83.73870578,87.14482489,80.65518093,102.1167326,86.74233487,78.42661803,66.66967786,105.1883712,91.45553126,115.9954769,122.1615955,106.6636396,110.848054,108.1717935,124.0207717,69.00293928,68.24047258,105.0605142,30.72351727,80.30350485,26.67666701,20.56871204,21.38084368,35.74759991,113.1462112,20.90428218,37.04687185,41.16198911,48.07876736,88.01888417,84.69527581,96.9165742,19.49947968,24.53065448,18.05876073,19.76020573,18.4536039,19.8570791,94.79934633,123.4225143,131.4098126,127.1108935,134.2994124,129.5951109,103.415331
846.770912,27.18075163,30.59069781,20.45374877,44.41862088,62.15067804,41.30699171,124.8939652,124.1306655,119.1736385,90.85939724,83.69578407,87.10989391,80.70248242,102.0473556,86.69108824,78.40040939,66.57568718,105.161245,91.43166387,115.8843,122.0395715,106.6127399,110.7470258,108.1190564,123.9701461,68.91656165,68.27769613,105.0585412,30.75553946,80.24844418,26.75687025,20.60774506,21.42287258,35.78019632,113.1661772,20.95545112,37.08828248,41.16816308,48.21777102,87.95710152,84.63845867,96.86890072,19.50127963,24.4917944,18.02301835,19.77433704,18.48237023,19.8279889,94.83161724,123.3749991,131.4692122,127.0618095,134.3014195,129.6246472,103.3663664
846.9518608,27.18619215,30.59377225,20.46768215,44.4076228,62.08968591,41.35433412,124.9567239,124.1664044,119.2986257,90.84007439,83.77023186,87.09240153,80.72961275,102.0412913,86.62904848,78.37176074,66.53845505,105.2032047,91.45119284,115.9924817,122.1257088,106.6704133,110.7588143,108.148385,123.9581308,68.91684051,68.3753253,105.0734905,30.73925394,80.42433155,26.76241663,20.56538485,21.39806203,35.82398422,113.2026924,20.96836875,37.15143024,41.20909072,48.31680298,88.00780827,84.6157772,96.93676233,19.47163097,24.5100319,18.05247945,19.74511909,18.51952614,19.84222603,94.8102989,123.5182304,131.4679929,127.0043301,134.3170591,129.6971911,103.4292455
847.1327949,27.26021607,30.60611696,20.49404326,44.41428584,62.11713786,41.32085661,124.8730034,124.2308545,119.1945691,90.91048325,83.87851206,87.09412938,80.76286501,101.9344624,86.6584651,78.39677613,66.49609796,105.1948734,91.44941964,116.0162069,122.0914193,106.6383557,110.7222981,108.1399385,123.9175176,68.90369856,68.41379255,105.0163352,30.72701216,80.43407303,26.89056876,20.58957791,21.43085175,35.8893246,113.0887052,21.03898661,37.22643185,41.29949408,48.43093827,88.00999305,84.67914936,96.89996708,19.52972604,24.56780166,18.0924894,19.80676261,18.5618484,19.86265526,94.79977603,123.4918981,131.4194445,127.0943482,134.2191091,129.7034209,103.3663087
847.3137143,27.2732156,30.61720516,20.43972712,44.38341655,62.03837237,41.29505314,124.8239673,124.1866029,119.1689574,90.946151,83.83775846,87.12721683,80.75536344,101.8458838,86.58646079,78.32103613,66.39261145,105.1969559,91.43683225,115.9721085,122.028632,106.6016762,110.6512688,108.1537362,123.8325978,68.86432078,68.40586884,104.9995016,30.7308831,80.40038349,26.91513208,20.63226739,21.44784791,35.90018544,113.0657412,21.05254153,37.25256298,41.2599789,48.50484862,87.97084879,84.649937,96.75580192,19.57116718,24.56318844,18.07700059,19.84800102,18.55602359,19.81726381,94.77286396,123.4917231,131.348711,127.0483465,134.0928176,129.5948398,103.4083686
847.4946191,27.21385637,30.65675078,20.39680432,44.37883793,61.98188179,41.2080016,124.8206021,124.1279149,119.1065657,90.94121334,83.80586032,87.11825451,80.71093327,101.869819,86.57101034,78.24378196,66.33030819,105.2244912,91.40204843,115.9604746,121.9774109,106.6885044,110.6453305,108.1089244,123.6941362,68.84318437,68.40530138,104.9205553,30.70221665,80.42536693,26.98708486,20.59169792,21.44447196,35.84980243,112.9724182,20.99885857,37.25828821,41.25420465,48.6572923,87.92763474,84.64149998,96.74950873,19.58395736,24.52499418,18.03606548,19.87026087,18.56137365,19.82756439,94.72300982,123.4449705,131.255418,126.8746953,134.090301,129.5772052,103.4304421
847.6755091,27.2313203,30.6728968,20.38066716,44.31891343,61.99238147,41.19288472,124.8362794,124.1358175,119.2201029,90.93445096,83.87853025,87.19287874,80.67320585,101.9041334,86.57679689,78.27290119,66.36038366,105.2296873,91.40470211,115.9700563,122.0301052,106.6966078,110.6934535,108.1476371,123.7636642,68.87021088,68.46051316,105.025317,30.63622978,80.57197774,27.01941319,20.58192708,21.47032991,35.87449069,113.0147615,20.98135644,37.31305847,41.30988425,48.79962835,87.99716075,84.6925024,96.7947753,19.5825063,24.53008281,18.03371811,19.85321225,18.60192746,19.85480734,94.72192176,123.4505489,131.3575474,126.9165302,134.1224886,129.6065422,103.5343507
847.8563846,27.26481125,30.68977644,20.38822653,44.40702045,61.93919449,41.19982577,124.7919701,124.1637944,119.2820906,90.92019477,83.94206773,87.1956378,80.66502025,101.9731019,86.67721652,78.23677622,66.33202859,105.3225797,91.38286968,116.0563338,122.0367407,106.6855885,110.6755701,108.1942371,123.8622845,68.82405126,68.56076454,105.0606317,30.63562853,80.55630483,27.09765206,20.59978301,21.45318204,35.87510815,112.9888048,21.03564371,37.39412685,41.29473447,49.01722543,87.99460919,84.70711176,96.86227849,19.64993676,24.53551683,18.1100781,19.87835702,18.61013705,19.90151474,94.76529579,123.5227911,131.4252289,126.8719492,134.0362771,129.6676597,103.6397586
848.0372453,27.22447927,30.66735827,20.40064154,44.37443642,61.90033094,41.19270552,124.8290499,124.1336007,119.2384026,90.95450528,83.95509691,87.17229361,80.68507118,101.9242639,86.67309513,78.23345601,66.36328597,105.3633465,91.3904248,115.9877182,122.0398004,106.608945,110.7150243,108.2147361,123.8253381,68.78075408,68.57876892,104.9980189,30.60126202,80.55323835,27.17135052,20.57011806,21.48975099,35.89917166,112.9789006,21.01221162,37.46000608,41.2483918,49.00722763,87.8845066,84.70065775,96.82566197,19.63533975,24.49934793,18.13236952,19.86453867,18.62567368,19.89704731,94.64296739,123.4562341,131.4355373,126.7983703,133.9928105,129.5821251,103.575591
848.2180913,27.23963861,30.7404656,20.43097545,44.44725892,61.8517547,41.19512937,124.7900889,124.1064113,119.2982407,90.94404908,83.97323199,87.27860521,80.58523995,101.9922027,86.68851947,78.23400787,66.29390751,105.3434508,91.36581351,115.9541011,122.0315097,106.6685356,110.7184192,108.1989259,123.7488036,68.82333271,68.56286118,105.0736481,30.61695788,80.58431885,27.25798054,20.56203219,21.45423927,35.91331232,112.9210736,21.01080893,37.54858811,41.23037152,49.15540987,87.87756156,84.70686942,96.80161473,19.66063412,24.49195238,18.10989944,19.96009227,18.64045398,19.93696461,94.68864762,123.4996856,131.3437071,126.7746024,134.0189667,129.612016,103.566926
848.3989227,27.12656616,30.5932417,20.32081636,44.32877249,61.7638983,41.1557885,124.5853911,124.0067126,119.1205178,90.83976371,83.93651786,87.25695935,80.47413446,101.7910512,86.63200987,78.19935365,66.1244247,105.2969377,91.14488763,115.9461098,121.9007698,106.5887353,110.5886808,108.0517577,123.6899758,68.67103517,68.48183948,105.0642389,30.52532942,80.58663299,27.22420261,20.41219509,21.34497617,35.8228087,112.8126778,20.8982112,37.51082816,41.14493778,49.14320407,87.69471883,84.67240144,96.70458937,19.5421717,24.38819273,18.03113335,19.87732065,18.55134628,19.79679264,94.56781932,123.381001,131.2691755,126.5496928,133.9610774,129.5638471,103.4280662
848.5797394,27.14426414,30.58830326,20.34263863,44.3490009,61.75164295,41.16830544,124.6928915,124.1592397,119.2673036,90.82210203,84.02363672,87.29030182,80.51142172,101.8307044,86.7235584,78.17772144,66.09744742,105.3627663,91.12648809,116.0014436,122.0967735,106.6605033,110.7163942,108.1292938,123.7523986,68.67856957,68.49105068,105.131065,30.51596074,80.71407738,27.28097821,20.42178464,21.38329194,35.84342133,112.9669429,20.95638254,37.59532193,41.18070472,49.35496604,87.73355572,84.69438508,96.74772692,19.52954016,24.38272854,18.00680471,19.94386913,18.5982259,19.82589488,94.60669847,123.4870622,131.4417195,126.6854306,134.0312756,129.6496823,103.470448
848.7605415,27.16116427,30.55933715,20.32113998,44.33656338,61.72359965,41.21558577,124.8117397,124.266101,119.322745,90.85511697,84.103458,87.35250685,80.54470706,101.8322192,86.84371054,78.19467755,66.05612186,105.3888326,91.0491698,116.0983585,122.1319636,106.7020518,110.7409841,108.1958129,123.7969098,68.70383482,68.57417051,105.2059918,30.48660011,80.78915353,27.30415799,20.39492563,21.33905523,35.88515251,113.0105936,20.94492009,37.61142207,41.17505307,49.43662571,87.68515731,84.73060576,96.73417344,19.54063343,24.35708785,18.02061683,19.93002967,18.59083731,19.82049055,94.58608147,123.5161452,131.4599294,126.7727965,133.9821321,129.6404951,103.4943624
848.9413289,27.16075358,30.58942759,20.32713154,44.35607842,61.66934652,41.13488037,124.7593834,124.199895,119.2919729,90.88628278,84.20703092,87.40553281,80.60864057,101.8475154,86.9354357,78.29223963,66.0651109,105.4146278,91.06510586,116.0829912,122.1385229,106.7122663,110.7731009,108.2059115,123.840593,68.71581569,68.60330415,105.2630442,30.49270644,80.70824922,27.40657474,20.40337769,21.36923633,35.85826696,113.0231499,20.96276518,37.68710445,41.14810634,49.59390241,87.66696262,84.73526169,96.82827311,19.52826327,24.36082765,18.00806521,19.99902673,18.61159309,19.83054212,94.60881544,123.466268,131.519041,126.8235824,133.9734564,129.6247401,103.4619913
849.1221016,27.07195765,30.59374399,20.2830898,44.31407154,61.58464317,41.15708185,124.8233316,124.0793882,119.3136875,90.79776251,84.20702761,87.39910439,80.51851693,101.8153732,86.91332194,78.25746086,66.07496269,105.3840299,91.08605878,116.0365003,122.1545295,106.7512139,110.7922529,108.1385488,123.7205337,68.66512197,68.58639833,105.2522714,30.51295878,80.72253141,27.42100957,20.37123198,21.35613644,35.77903457,113.0404949,20.91091839,37.64376412,41.06390702,49.74394101,87.5746005,84.63696579,96.79504852,19.47426758,24.34320838,17.9581453,19.97385445,18.55410042,19.77604489,94.52093584,123.5006128,131.499278,126.728949,133.8814008,129.6373377,103.4421532
849.3028596,26.95598576,30.56905014,20.15141089,44.21710319,61.58340141,41.17547178,124.9709238,124.2272221,119.4037378,90.82710475,84.18586302,87.52133604,80.66853727,101.9471515,87.03196475,78.27432187,66.19930006,105.4952554,91.00522925,116.0793482,122.2783078,106.7915868,110.906504,108.2561548,123.8845893,68.72351738,68.67673209,105.3876634,30.58710371,80.88228262,27.50452251,20.38333139,21.29168328,35.76760699,113.179876,20.9093569,37.76186794,41.09418006,49.9174115,87.59796746,84.72988131,96.96349491,19.47252778,24.36237061,17.98026143,19.98917191,18.5745501,19.79982218,94.58042369,123.5487442,131.6180416,126.8981779,134.1354711,129.87339,103.4444631
849.483603,26.90652349,30.51494034,20.08124778,44.09977247,61.54273853,41.13993058,124.9871796,124.1962567,119.3696504,90.77087044,84.21502151,87.46813649,80.617007,101.822884,86.9689051,78.26131214,66.10097249,105.3618099,90.96125563,116.017703,122.2677474,106.6409332,110.8688877,108.2418397,123.9029228,68.70460001,68.68097675,105.3869946,30.54856039,80.81061631,27.51267798,20.32916016,21.19523131,35.76567028,113.1996007,20.93730185,37.73903339,40.99689329,49.91326311,87.45045453,84.64372784,96.92165656,19.38840708,24.25137091,17.93613448,19.91071423,18.51242026,19.7525905,94.61823703,123.5386177,131.6416987,126.8302194,133.9625366,129.8343067,103.4149089
849.6643317,26.84061381,30.52124229,20.09225333,44.16177397,61.4954244,41.12889288,124.9113851,124.1601411,119.3827045,90.79225473,84.19308697,87.44630454,80.60076367,101.8431779,87.03895928,78.23924979,66.04498975,105.4864168,90.89607629,115.9895756,122.2093235,106.6627361,110.842163,108.1399593,123.8457519,68.63951316,68.73598272,105.343459,30.55729144,80.74900184,27.62963326,20.33078701,21.17313889,35.80109236,113.2858486,20.96338361,37.75432676,40.99935965,50.10216634,87.40826507,84.62141181,96.95615184,19.35396672,24.22088645,17.94033226,19.88686456,18.49798724,19.74934974,94.57438951,123.5046355,131.7310924,126.8948805,134.0323484,129.8110232,103.2869514
849.8450457,26.76062262,30.48729914,20.08368422,44.09387847,61.37623621,41.12988122,124.8360644,124.0287451,119.2039698,90.7664118,84.12251145,87.38592372,80.59511984,101.761603,86.90073568,78.20479816,65.99892271,105.3349147,90.81507486,115.892504,122.1195681,106.5590498,110.8589752,108.0921498,123.7467025,68.62024664,68.64966798,105.3263402,30.47291357,80.73999151,27.64271435,20.30859089,21.15106133,35.78909447,113.2102649,20.91030615,37.7553668,40.96806382,50.12862695,87.25568144,84.58114307,96.89824258,19.33106266,24.19966527,17.85682574,19.83593943,18.47892056,19.73164402,94.52411484,123.3911675,131.613966,126.7956316,133.9846802,129.7107219,103.2015421
850.0257451,26.77298457,30.55229389,20.08339568,44.09451293,61.35060851,41.13118528,124.8544799,124.1530821,119.3167283,90.77760954,84.24028909,87.50374652,80.68523037,101.9060588,87.04200368,78.22581879,65.93284152,105.3435752,90.78377128,115.9620486,122.2006879,106.6327458,110.8879577,108.1852186,123.7658922,68.62182892,68.74553299,105.4957008,30.55641532,80.8381313,27.71020154,20.36706015,21.13797136,35.76553396,113.2596359,20.95509826,37.81159888,41.06259002,50.36655212,87.38808128,84.64380144,96.95457023,19.34514986,24.1714041,17.8448886,19.8035874,18.46479637,19.7105288,94.64589684,123.6210709,131.6542048,127.0068042,134.208246,129.8650559,103.2092872
850.2064298,26.80022306,30.57107451,20.12150374,44.09664942,61.3923603,41.18107487,125.0441447,124.2640743,119.4309697,90.88728105,84.35766638,87.47641493,80.8226554,101.9833127,87.09643723,78.20201943,66.06812206,105.3901926,90.87671249,116.0587187,122.3103413,106.6738541,111.0594403,108.2704841,123.906174,68.66020042,68.76553855,105.5609455,30.61240843,80.92695098,27.82985061,20.41501137,21.15869486,35.80676576,113.3936621,20.95793303,37.85328543,41.02544918,50.48484566,87.49685703,84.6976389,97.02820969,19.31886523,24.16098479,17.8388574,19.83744036,18.47004803,19.75217637,94.73027266,123.7020801,131.7888307,127.0924224,134.2932738,129.8535569,103.3238441
