A,bone_black,arylide_yellow,diarylide,cadmium_orange,pyrrole_orange,k_cadmium_red,k_pyrrole_red,k_quinacridone_red,k_quinacridone_magenta,dioxazine_purple_tints,k_ultramarine_blue,k_cobalt_blue,k_cerulean_blue,phthalo_blue_red_shade,phathalo_blue_green_shade_tints,phathlo_green_blue_shade,phathlo_green_yellow_shade,biz_vanadate_yellow,PH G and Biz Y mix,PH G and Biz Y mix,PH G and Biz Y mix,Phthalo B (GS) and Phthalo G (BS),Quin Mag and Dioxazine P,titanium_white
480,0.2146659793,1.607715823,1.810934125,0.8389412996,0.6308050014,0.6285977159,0.7431918296,0.3934241121,0.2776966382,0.4744280875,0.02156416829,0.009204548405,0.007489329986,0.0374106638,0.03749833922,0.1001464398,0.05649324975,0.1635793026,0.1368077894,0.1568864243,0.161906083,0.06882238949,0.2973697832,0.000005836324974
490,0.2192832642,1.234762904,1.855055607,0.8643249393,0.7165667807,0.6454913297,0.7782489915,0.4641875467,0.3680564826,0.7466158256,0.03983351184,0.008182262413,0.006994246689,0.05713796017,0.05811595789,0.05808232106,0.02122199548,0.05168529375,0.04406946918,0.0497813376,0.05120930471,0.05809913948,0.4059124169,0.000007894256093
500,0.2235029714,0.5521263027,1.827913315,0.876431417,0.7595671716,0.6613934313,0.8164479157,0.5229419123,0.4558027227,1.148412219,0.06864233643,0.01155230953,0.007282971128,0.09112244996,0.09280463004,0.04854376224,0.01181144181,0.0167393637,0.01550738323,0.01643136859,0.01666236492,0.07067419614,0.5250636723,0.000008810931875
510,0.2270276974,0.1123310627,1.462056851,0.8568803676,0.7355064949,0.6683935702,0.8565530539,0.6559055974,0.5737523524,1.648904353,0.1074455883,0.02438405054,0.01119808253,0.1483987174,0.1360877524,0.05869166538,0.009700853612,0.005605293243,0.006629183335,0.005861265766,0.005669286374,0.09738970888,0.6812675524,0.00000948797883
520,0.2319486101,0.02293040729,0.7369248297,0.8387349629,0.8060524102,0.6660088636,0.8924589559,0.8033160586,0.8061351678,2.393068843,0.1590765386,0.05356448283,0.02229161156,0.2466387982,0.2234268146,0.08049249758,0.01117785913,0.001785149681,0.004133327045,0.002372194022,0.001931910767,0.1519596561,0.9648285353,0.00001200879571
530,0.2356096476,0.005007538303,0.1700158083,0.8021928254,0.9635097293,0.6568074647,0.9021807304,0.7785617667,1.062691148,3.247660251,0.215666457,0.1013311242,0.04168221205,0.4031299758,0.371032436,0.112493171,0.01549277182,0.0005529155366,0.004287879608,0.001486656554,0.000786350791,0.2417628035,1.281188059,0.00001127163349
540,0.2396269437,0.001285473656,0.03592078565,0.6139116817,1.048406174,0.6540710473,0.9429249406,0.7364067551,1.121670084,3.605524093,0.2751388501,0.1663526904,0.07026601943,0.6436167267,0.6094193065,0.1713295013,0.02554820347,0.0002195581205,0.006551719459,0.001802598455,0.0006153182041,0.3903744039,1.370055485,0.00001206858274
550,0.2438949924,0.0005093074536,0.009341150739,0.2811779763,0.8842510196,0.645514511,1.027593454,0.8809958363,1.084380419,3.721895841,0.3335744929,0.207823374,0.09885705919,0.9987207122,1.006276554,0.269556795,0.05102373794,0.0001286072418,0.01285238992,0.00330955291,0.000923843659,0.6379166746,1.348131961,0.0000141485449
560,0.2484675486,0.0003077300067,0.00285116305,0.07220428089,0.4079072147,0.581021787,1.101420637,0.9483600483,1.13962715,4.039742514,0.3879493351,0.2403294204,0.1240621237,1.479868949,1.64206261,0.4209624312,0.1080978828,0.0001017365923,0.02710077313,0.006851495727,0.001789176376,1.031512521,1.429638687,0.00001752760998
570,0.2523556418,0.0002282047093,0.0009785946912,0.01928459505,0.08823370766,0.3783675171,1.098300608,0.6654745007,1.013705482,4.198033745,0.4347920033,0.2941154186,0.1475829753,1.942394287,2.458098374,0.6318287261,0.1882710882,0.00008938041503,0.04713480736,0.01185073715,0.003029719599,1.54496355,1.332138309,0.00001855293901
580,0.256408501,0.0001823833913,0.0004804518343,0.00526175783,0.02148703787,0.1463042681,0.894734699,0.3024957711,0.5993886269,3.591969231,0.4740673711,0.3372890823,0.1695271999,2.212544599,3.233303234,0.9388224668,0.2615834153,0.00007726085549,0.06545379947,0.01642139551,0.004163294519,2.08606285,0.8986466873,0.00002015663101
590,0.2613957749,0.0001572269095,0.0003551227046,0.001606491001,0.005909967103,0.04247814936,0.3347370735,0.1178176589,0.2735906792,2.621649569,0.5073066136,0.3540792818,0.1871723515,2.358989644,3.845116785,1.377000727,0.4359073044,0.00006817625714,0.1090279583,0.02730812177,0.006878162634,2.611058756,0.5083965682,0.00002384691995
600,0.2660285267,0.0001370014673,0.0003050489151,0.0005579308281,0.001583791673,0.01126868291,0.06764948381,0.03930916417,0.1108086864,2.009773455,0.5299769843,0.3513138572,0.1953692694,2.518364865,4.507572633,1.945479574,0.7260103326,0.00006654267265,0.1815524901,0.04543802954,0.01140941439,3.226526104,0.3007051632,0.00002562221246
